Model,RMSE,Percentage Error
ARIMA,0.5560855324593207,3.6279066574851297
SARIMA,0.38483995144040345,2.510699056891985
Exponential Smoothing,0.1963304764945088,1.2808616681531109
Linear Regression,1.4944175452849426,9.749592544917423
SVR,1.1071008121705876,7.222734943701642
Auto ARIMA,0.2980040443442529,1.9441808738534245
Prophet,1.506668112254184,9.829515346125941
