Year,Total
2001,1.9
2002,2.1
2003,2.1
2004,2.2
2005,2.3
2006,2.3
2007,4.0
2008,4.2
2009,4.5
2010,4.9
2011,5.5
2012,5.9
2013,6.2
2014,6.7
2015,7.0
2016,7.4
2017,7.7
2018,8.1
2019,8.6
2020,8.8
2021,9.3
2022,9.8
2023,10.3
