Model,RMSE,Percentage Error
ARIMA,1093.8660588555322,10.888573152055866
SARIMA,1193.2337515539764,11.877700095102293
Exponential Smoothing,1068.2791485779228,10.633875657753562
Linear Regression,1450.0549847595184,14.434152744968328
SVR,4246.515161952994,42.270706370226904
Auto ARIMA,1061.251299648059,10.563918969222168
Prophet,1077.812555045095,10.728773193759656
