Model,RMSE,Percentage Error
ARIMA,39.29806691680192,12.335771389899213
SARIMA,33.62097893819082,10.553717844803597
Exponential Smoothing,35.4694963894706,11.133972561594186
Linear Regression,27.10552166150574,8.508497869072963
SVR,130.06147518809584,40.82665511130861
Auto ARIMA,54.34825890290239,17.060068086418177
Prophet,25.45611088432527,7.990743285408315
