Year,Total
1990,120.47
1991,134.04
1992,106.09
1993,98.33
1994,146.43
1995,164.51
1996,129.05
1997,128.55
1998,155.39
1999,182.0
2000,184.21
2001,180.98
2002,200.99
2003,137.261
2004,136.6
2005,193.21
2006,281.99
2007,262.99
2008,146.77
2009,188.02
2010,243.5
2011,262.96
2012,257.4
2013,245.54
2014,280.604
2015,251.21
2016,202.27
2017,323.48
2018,331.3
2019,273.68
2020,309.46
2021,359.49
2022,330.72
2023,319.5
