Model,RMSE,Percentage Error
ARIMA,2998.0789350810783,6.487214022834649
SARIMA,2725.7171150167824,5.897880167167474
Exponential Smoothing,2740.8300302733433,5.930581346122798
Linear Regression,1982.4549934669305,4.2896168218831265
SVR,5325.987424693962,11.524319757772252
Auto ARIMA,2473.371355241512,5.351856867960135
Prophet,2787.835397761107,6.032291102843019
