Model,RMSE,Percentage Error
ARIMA,32001.110554799663,10.96114632992442
SARIMA,19266.72406641224,6.599314152819192
Exponential Smoothing,21147.410415886658,7.243494242818868
Linear Regression,36824.00013673306,12.613101450360423
SVR,160701.19904437524,55.044007147918016
Auto ARIMA,25906.25814545026,8.87351349593981
Prophet,29083.31220353178,9.961730555440848
