Model,RMSE,Percentage Error
ARIMA,15734.59866258862,12.173036105046364
SARIMA,11161.929934190472,8.635401449034775
Exponential Smoothing,12620.286633063808,9.76365575854131
Linear Regression,16623.21020688069,12.860508384701493
SVR,71255.31892612913,55.126513777991825
Auto ARIMA,12453.298547046292,9.63446580944925
Prophet,13500.05547529162,10.444286902060549
