Model,RMSE,Percentage Error
ARIMA,2883.1853297146877,11.432682481778228
SARIMA,926.3409743316355,3.6732159116676275
Exponential Smoothing,1645.5822371504703,6.525220221225714
Linear Regression,7925.215457378115,31.425823026385537
SVR,13140.874323177899,52.10745286523506
Auto ARIMA,2303.3010316156597,9.133269749614017
Prophet,5114.70103754522,20.28130219338438
