Model,RMSE,Percentage Error
ARIMA,7092.321841575904,20.872907775999906
SARIMA,4664.417143360567,13.727514210004435
Exponential Smoothing,3639.4255623256236,10.71093441850348
Linear Regression,12938.824196047155,38.0793328625875
SVR,26694.90105879501,78.56386389902765
Auto ARIMA,3899.6086175640885,11.476660655718861
Prophet,4692.687891736811,13.810715838018082
